room_number,qr,measured_temp,issue_heating,issue_motion,issue_temperature_sensor,issue_door,issue_window,issue_heating_switch,issue_kitchen_switch,issue_wifi,problem_description,solution,short_uuid,mac_address,timestamp,last_motion_time,last_motion_state,voltage_state,temp,broker_connection
1000,KKKKK,1,,,,,,,,,,,"AB4-4DE
",02:42:AC:13:00:03,05-09-2023_17-24-05,05-09-2023 17:23:49,0,,,NOT CONNECTED
1000,kkkkkkk,1,,,,,,,,,,,"AB4-4DE
",02:42:AC:13:00:03,05-09-2023_17-24-33,05-09-2023 17:23:49,0,DETECT,24.75,NOT CONNECTED
1019,3655D2,23.1,,,Nie widzi czujki temperatury ,,,,,,,,"365-5D2
",02:42:AC:12:00:03,05-09-2023_17-47-28,05-09-2023 17:46:52,0,DETECT,Sensor not detected,NOT CONNECTED
1018,AB44DE,22.5,,,,,,,,,,,"AB4-4DE
",02:42:AC:13:00:03,05-09-2023_17-55-26,05-09-2023 17:55:13,0,DETECT,24.8125,NOT CONNECTED
1018,AB44DE,22.5,,,,,,,,,,,"0C5-778
",02:42:AC:12:00:02,05-09-2023_18-11-29,05-09-2023 18:11:29,0,NOT DETECT,24.4375,NOT CONNECTED
1003,ADC878,24.7,,,,,,,,,,,"ADC-B78
",02:42:AC:12:00:03,05-09-2023_18-21-53,05-09-2023 18:21:52,0,DETECT,25.3125,NOT CONNECTED
1005,B2484C,24.7,,,,,,,,,,,"B24-84C
",02:42:AC:12:00:03,05-09-2023_18-25-44,05-09-2023 18:20:15,1,DETECT,25.0625,NOT CONNECTED
,,,,Nie dzia³a poprawnie ,,,,,,,,,"B24-84C
",02:42:AC:12:00:03,05-09-2023_18-27-20,05-09-2023 18:20:15,1,DETECT,25.0625,NOT CONNECTED
1006,AFF4B3,24.8,,,,,,,,,,,"AFF-4B3
",02:42:AC:12:00:03,05-09-2023_18-31-11,05-09-2023 18:31:05,0,DETECT,25.25,NOT CONNECTED
1007,BD5CA0,23.5,,,,,,,,,,,"BD5-CA0
",02:42:AC:12:00:03,05-09-2023_18-33-48,05-09-2023 18:33:41,0,DETECT,24.8125,NOT CONNECTED
1008,368848,26,,,,,,,,,,,"368-848
",02:42:AC:12:00:03,05-09-2023_18-40-12,05-09-2023 18:40:12,0,DETECT,26.1875,NOT CONNECTED
1008,368848,23.3,,,,,,,,,,,"368-848
",02:42:AC:12:00:02,25-09-2023_16-43-11,25-09-2023 16:43:10,0,DETECT,24.5625,NOT CONNECTED
1010,0C290C,24.4,,,,,,,,,,,"0C2-90C
",02:42:AC:12:00:03,05-09-2023_18-44-03,05-09-2023 18:44:01,0,DETECT,25.25,NOT CONNECTED
1011,3748FA,24.4,,,,,,,,,,,"374-8FA
",02:42:AC:12:00:03,05-09-2023_18-46-55,05-09-2023 18:46:43,0,DETECT,25.25,NOT CONNECTED
1012,363BFB,26,,,,,,,,,,,"363-BFB
",02:42:AC:12:00:02,05-09-2023_19-57-48,05-09-2023 19:57:47,0,DETECT,25.5,NOT CONNECTED
1013,37B037,27.6,,,,,Lewy dzia³a prawy nie da siê otworzyæ ,,,,,,"37B-037
",02:42:AC:12:00:03,05-09-2023_20-02-35,05-09-2023 20:02:33,0,DETECT,27.0625,NOT CONNECTED
1013,37B,25.8,,,,,"Jedno okno dzia³a prawid³owo, drugie zamkniête na klucz - nie mo¿na sprawdziæ ",,,,,,"37B-037
",02:42:AC:12:00:03,27-09-2023_17-14-03,27-09-2023 17:13:59,0,DETECT,25.9375,NOT CONNECTED
1013,37B,25.8,,,,,"Jedno okno dzia³a prawid³owo, drugie zamkniête na klucz - nie mo¿na sprawdziæ ",,,,,,"B25-961
",02:42:AC:12:00:02,27-09-2023_17-56-26,27-09-2023 17:51:44,0,DETECT,24.75,NOT CONNECTED
1014,368,21.3,,,,,,,,,Napiêcie pomimo wy³¹czonych bezpieczników (do elektryków),,"368-930
",02:42:AC:12:00:03,05-09-2023_20-17-56,05-09-2023 20:17:53,0,NOT DETECT,23.5625,NOT CONNECTED
1014,368930,21,,,,,,,,,,,"368-930
",02:42:AC:12:00:03,06-09-2023_12-25-02,06-09-2023 12:24:41,0,DETECT,24.5,NOT CONNECTED
,,,,,,,,,,,Okno kontaktron nadal nie dzia³a,,"368-930
",02:42:AC:12:00:03,06-09-2023_12-26-42,06-09-2023 12:26:41,1,DETECT,24.4375,NOT CONNECTED
1015,37B411,22,,,Nie widzi czujki temperatury ,,,,,,Przewód od kuchenki nie dosiêga do gniazdka,,"37B-411
",02:42:AC:12:00:03,05-09-2023_20-20-14,05-09-2023 20:19:55,1,DETECT,Sensor not detected,NOT CONNECTED
1016,885C91,23.1,,,,,,,,,Stycznik nie dzia³a poprawnie nie da siê ustawiæ 1 przez co nie da siê sprawdziæ kuchenki ,,"885-C91
",02:42:AC:12:00:03,05-09-2023_20-26-38,05-09-2023 20:26:24,0,DETECT,25.9375,NOT CONNECTED
1017,122ECC,22.4,,,,,,,,,,,"122-ECC
",02:42:AC:12:00:03,05-09-2023_20-29-24,05-09-2023 20:29:22,1,DETECT,25.25,NOT CONNECTED
1020,C48C3C,22,,,,,,,,,,,"C48-C3C
",02:42:AC:12:00:03,05-09-2023_20-36-00,05-09-2023 20:35:02,0,DETECT,24.8125,NOT CONNECTED
1021,262A86,21,,,,,,,,,Stycznik nie dzia³a poprawnie nie da siê ustawiæ 1 przez co nie da siê sprawdziæ kuchenki ,,"262-A86
",02:42:AC:12:00:03,05-09-2023_20-39-43,05-09-2023 20:39:39,0,DETECT,24.5625,NOT CONNECTED
906,B4B786,25.5,,,,,Nie dzia³a poprawnie ca³y czas widnieje napis close,,?,,Stycznik nie dzia³a poprawnie nie da siê ustawiæ 1 przez co nie da siê sprawdziæ kuchenki ,,"B4B-786
",02:42:AC:12:00:03,06-09-2023_10-25-01,06-09-2023 10:24:58,0,DETECT,25.0,NOT CONNECTED
